rank,target_id,class_name,target_score,environment_score,accessibility_score,terp_score,terp_level,reason
1,T002,civilian,56.16,20.0,0.78,76.94,High,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在道路阻断，主导环境为道路阻断。通往该目标的参考路径可达性相对较好。疑似被困平民且综合优先级较高，建议优先核查。
2,T001,civilian,56.77,20.0,0.0,76.77,High,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在道路阻断、水域，主导环境为背景。通往该目标的参考路径可达性相对较好。疑似被困平民且综合优先级较高，建议优先核查。
3,T003,civilian,53.96,20.0,0.22,74.18,High,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在道路阻断，主导环境为道路阻断。通往该目标的参考路径可达性相对较好。疑似被困平民且综合优先级较高，建议优先核查。
