id,class_name,confidence,bbox,center,area
T001,civilian,0.8609,"[72.55, 367.3, 236.86, 509.38]","[154.71, 438.34]",23344.62
T002,civilian,0.8528,"[385.11, 98.39, 553.0, 239.39]","[469.06, 168.89]",23672.84
T003,civilian,0.8374,"[454.6, 277.51, 601.62, 407.94]","[528.11, 342.73]",19176.12
T004,civilian,0.7772,"[1.42, 228.9, 72.99, 321.69]","[37.2, 275.29]",6640.43
T005,cow,0.7502,"[127.59, 188.0, 387.0, 334.4]","[257.3, 261.2]",37975.79
T006,cow,0.7172,"[163.47, 284.63, 231.71, 350.6]","[197.59, 317.62]",4501.78
T007,cow,0.6803,"[214.26, 333.0, 471.48, 490.76]","[342.87, 411.88]",40580.94
