id,class_name,confidence,bbox,center,area
T001,rescuer,0.8713,"[169.04, 235.43, 275.92, 398.36]","[222.48, 316.9]",17415.22
T002,rescuer,0.8684,"[365.4, 260.86, 468.15, 396.58]","[416.78, 328.72]",13945.92
T003,dog,0.8561,"[261.71, 300.52, 319.85, 384.74]","[290.78, 342.63]",4897.11
T004,rescuer,0.8323,"[357.76, 231.76, 426.47, 319.47]","[392.11, 275.61]",6026.41
T005,dog,0.4793,"[313.62, 297.28, 376.56, 385.94]","[345.09, 341.61]",5580.36
