rank,target_id,class_name,target_score,environment_score,accessibility_score,terp_score,terp_level,reason
1,T003,dog,37.71,20.0,14.51,72.22,High,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在严重损毁建筑，主导环境为背景。通往该目标的参考路径代价较高，建议现场复核绕行条件。
2,T005,dog,32.08,20.0,12.48,64.56,Medium,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在严重损毁建筑，主导环境为背景。通往该目标的参考路径代价较高，建议现场复核绕行条件。
3,T001,rescuer,20.24,20.0,16.43,56.67,Medium,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在严重损毁建筑、树木、水域，主导环境为背景。通往该目标的参考路径代价较高，建议现场复核绕行条件。
4,T002,rescuer,20.12,20.0,10.25,50.37,Medium,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在严重损毁建筑、车辆，主导环境为可通行道路。通往该目标的参考路径代价较高，建议现场复核绕行条件。
5,T004,rescuer,19.38,20.0,10.6,49.98,Medium,TERP 综合目标类型、检测置信度、目标尺度、环境风险和路径可达性。目标附近存在严重损毁建筑，主导环境为严重损毁建筑。通往该目标的参考路径代价较高，建议现场复核绕行条件。
